#,Title,Audio Lang,Subtitles,Picture,Format,Resolution,Sound,Screen Aspect Ratio,Content Aspect Ratio,Release Date,Watch Date,Cinema,Audi No.,Seat No.
,The Marvels,English,,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,10-Nov-24,11-Nov-23,"Paras Cinema, Nehru Enclave, Delhi",,
,The Marvels,English,,2D,ScreenX,2K,5.1,2.39:1,2.39:1,10-Nov-23,11-Nov-23,"Pacific Outlet Mall, Jasola, Delhi",,
,Sam Bahaadur,Hindi,,2D,,2K,5.1,2.39:1,2.39:1,1-Dec-23,2-Dec-23,"Centra Mall, Chandigarh, India",,
,Animal,Hindi,,2D,P[XL],2K,5.1,1.85:1,2.39:1,1-Dec-23,3-Dec-23,"CP67 Mall, Mohali",,
,Tiger 3,Hindi,English,2D,,2K,5.1,2.39:1,2.39:1,12-Nov-23,14-Dec-23,"CP67 Mall, Mohali",,
,Wonka,English,,2D,,2K,5.1,2.39:1,2.39:1,8-Dec-23,17-Dec-23,"CP67 Mall, Mohali",,
,Aquaman and the Lost Kingdom,English,,3D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,21-Dec-23,21-Dec-23,"Priya Cinema, Vasant Vihar, Delhi",,
,Walking on Moon,Hindi,,3D,IMAX 15/70,2K,5.1,2.39:1,2.39:1,1-Jul-05,22-Dec-23,"Gujarat Science City, Ahmedabad",,
,T-rex,Hindi,,3D,IMAX 15/70,2K,5.1,2.39:1,2.39:1,20-Jun-05,22-Dec-23,"Gujarat Science City, Ahmedabad",,
,Migration,English,,3D,RealD,2K,5.1,2.39:1,2.39:1,29-Dec-23,30-Dec-23,"TDI Jagat, Chandigarh, India",,
,Madame Web,English,English,2D,,2K,5.1,2.39:1,2.39:1,30-Dec-23,31-Dec-23,"TDI Jagat, Chandigarh, India",,
,Anyone But You,English,English,2D,,2K,5.1,2.39:1,2.39:1,31-Dec-23,1-Jan-24,"Elante Mall, Chandigarh, India",,
,Dune,English,English,2D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,1-Jan-24,2-Jan-24,"Priya Cinema, Vasant Vihar, Delhi",,
,Dune Part Two,English,English,2D,IMAX with Laser,2K,5.1,2.39:1,2.39:1,2-Jan-24,3-Jan-24,"Priya Cinema, Vasant Vihar, Delhi",,
,Dune Part Two,English,English,2D,ScreenX,2K,5.1,2.39:1,2.39:1,,,"Pacific Outlet Mall, Jasola, Delhi",,
,Kung Fu Panda 4,English,English,3D,RealD,2K,5.1,2.39:1,2.39:1,3-Jan-24,4-Jan-24,"TDI Jagat, Chandigarh, India",,
,Ghostbusters: Frozen Empire,English,English,2D,,2K,5.1,2.39:1,2.39:1,4-Jan-24,5-Jan-24,"TDI Jagat, Chandigarh, India",,
,Godzilla x Kong: The New Empire,English,English,3D,IMAX,2K,5.1,2.39:1,2.39:1,5-Jan-24,6-Jan-24,"Logix City Center, Noida",,
,Civil War,English,English,2D,,2K,5.1,2.39:1,1.85:1,6-Jan-24,7-Jan-24,"TDI Jagat, Chandigarh, India",,
,Crew,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,7-Jan-24,8-Jan-24,"TDI Jagat, Chandigarh, India",,
,The Fall Guy,English,English,2D,,2K,5.1,2.39:1,2.39:1,8-Jan-24,9-Jan-24,"Centra Mall, Chandigarh, India",,
,Kingdom of the Planet of the Apes,Hindi,None,2D,,2K,5.1,2.39:1,2.39:1,9-Jan-24,10-Jan-24,"TDI Jagat, Chandigarh, India",,
,Furiosa,Hindi,None,2D,4DX,2K,5.1,2.39:1,2.39:1,10-Jan-24,11-Jan-24,"Elante Mall, Chandigarh, India",,
,IF,English,English,2D,,2K,5.1,2.39:1,1.85:1,11-Jan-24,12-Jan-24,"Elante Mall, Chandigarh, India",,
,The Garfield Movie,Hindi,None,3D,RealD,2K,5.1,2.39:1,1.85:1,12-Jan-24,13-Jan-24,"TDI Jagat, Chandigarh, India",,
